DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M303,FACING HISTORY SCHOOL  THE,2005,Total Cohort,44.8%,44.8%,0%,44.8%,0%,33.299999999999997%,19%
02M303,FACING HISTORY SCHOOL  THE,2006,Total Cohort,47.9%,47.9%,0%,47.9%,0%,29.6%,19.7%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2005,Total Cohort,71.400000000000006%,58.6%,2.9%,55.7%,12.9%,11.4%,12.9%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006,Total Cohort,75.400000000000006%,65.599999999999994%,0%,65.599999999999994%,9.800000000000001%,4.9%,16.399999999999999%
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,Total Cohort,77.599999999999994%,44.8%,3%,41.8%,32.799999999999997%,10.4%,10.4%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,Total Cohort,67.599999999999994%,47.1%,1.5%,45.6%,20.6%,22.1%,8.800000000000001%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2005,Total Cohort,38.5%,19.2%,0%,19.2%,19.2%,44.9%,10.3%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006,Total Cohort,51.9%,38%,0%,38%,13.9%,29.1%,15.2%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,Total Cohort,63.6%,41.6%,7.8%,33.799999999999997%,22.1%,26%,9.1%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,Total Cohort,73.599999999999994%,61.1%,11.1%,50%,12.5%,18.100000000000001%,5.6%
02M374,GRAMERCY ARTS HIGH SCHOOL,2005,Total Cohort,73.5%,19.100000000000001%,0%,19.100000000000001%,54.4%,14.7%,5.9%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,Total Cohort,73.099999999999994%,54.8%,1.1%,53.8%,18.3%,17.2%,7.5%
02M394,EMMA LAZARUS HIGH SCHOOL,2006,Total Cohort,s,s,s,s,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2005,Total Cohort,70.099999999999994%,55.5%,19.8%,35.799999999999997%,14.5%,21.8%,4.4%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,Total Cohort,74.400000000000006%,62.2%,22.7%,39.5%,12.2%,15.6%,6.3%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,Total Cohort,75.900000000000006%,0%,0%,0%,75.900000000000006%,20.7%,1.7%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,Total Cohort,76.400000000000006%,0%,0%,0%,76.400000000000006%,20%,3.6%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2005,Total Cohort,95%,80%,21%,59%,15%,4%,1%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006,Total Cohort,92.5%,76.3%,10%,66.3%,16.3%,7.5%,0%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2005,Total Cohort,75.900000000000006%,14.5%,0%,14.5%,61.4%,0%,10.8%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,Total Cohort,100%,97.9%,57.3%,40.6%,2.1%,0%,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,Total Cohort,98.1%,95.2%,53.3%,41.9%,2.9%,1.9%,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2005,Total Cohort,95.5%,88.7%,57.9%,30.8%,6.8%,3%,1.5%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006,Total Cohort,91.1%,85.5%,50%,35.5%,5.6%,7.3%,1.6%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,Total Cohort,86.9%,86.9%,0%,86.9%,0%,10.7%,2.4%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,Total Cohort,64.2%,64.2%,0%,64.2%,0%,32.6%,2.1%
02M414,N.Y.C. MUSEUM SCHOOL,2005,Total Cohort,94%,80%,27%,53%,14%,6%,0%
02M414,N.Y.C. MUSEUM SCHOOL,2006,Total Cohort,94.3%,81.099999999999994%,4.7%,76.400000000000006%,13.2%,2.8%,1.9%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,Total Cohort,99.1%,98.3%,66.099999999999994%,32.200000000000003%,0.9%,0%,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,Total Cohort,100%,99.2%,86.6%,12.6%,0.8%,0%,0%
02M418,MILLENNIUM HIGH SCHOOL,2005,Total Cohort,96.7%,86.2%,12.2%,74%,10.6%,3.3%,0%
02M418,MILLENNIUM HIGH SCHOOL,2006,Total Cohort,96.7%,92.7%,45.3%,47.3%,4%,3.3%,0%
02M419,LANDMARK HIGH SCHOOL,2005,Total Cohort,61.2%,0%,0%,0%,61.2%,26.5%,7.1%
02M419,LANDMARK HIGH SCHOOL,2006,Total Cohort,61.7%,61.7%,0%,61.7%,0%,18.100000000000001%,13.8%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2005,Total Cohort,73.8%,61.9%,13.1%,48.8%,11.9%,23.3%,0.3%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006,Total Cohort,82.1%,71%,14.4%,56.6%,11.1%,14.7%,0.6%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2005,Total Cohort,50.3%,17.5%,0%,17.5%,32.9%,24.5%,18.899999999999999%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006,Total Cohort,54.2%,40.299999999999997%,6.3%,34%,13.9%,22.2%,16%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2005,Total Cohort,50.5%,19.399999999999999%,3.2%,16.100000000000001%,31.2%,32.299999999999997%,10.8%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006,Total Cohort,47.9%,20.5%,0%,20.5%,27.4%,30.1%,6.8%
02M439,MANHATTAN VILLAGE ACADEMY,2005,Total Cohort,98.6%,90.5%,23%,67.599999999999994%,8.1%,1.4%,0%
02M439,MANHATTAN VILLAGE ACADEMY,2006,Total Cohort,98.2%,96.4%,40.9%,55.5%,1.8%,0%,0%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2005,Total Cohort,51%,21.3%,2.5%,18.8%,29.8%,30.8%,13.8%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,Total Cohort,38.1%,20%,2.2%,17.8%,18.100000000000001%,36.200000000000003%,18.600000000000001%
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2005,Total Cohort,s,s,s,s,s,s,s
02M445,SEWARD PARK HIGH SCHOOL,2005,Total Cohort,s,s,s,s,s,s,s
02M449,VANGUARD HIGH SCHOOL,2005,Total Cohort,78.900000000000006%,73.7%,0%,73.7%,5.3%,17.100000000000001%,0%
02M449,VANGUARD HIGH SCHOOL,2006,Total Cohort,44.9%,42.7%,0%,42.7%,2.2%,46.1%,3.4%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2005,Total Cohort,52.9%,50%,0%,50%,2.9%,32.4%,10.3%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006,Total Cohort,55.1%,55.1%,0%,55.1%,0%,33.299999999999997%,7.2%
02M460,WASHINGTON IRVING HIGH SCHOOL,2005,Total Cohort,36.6%,19.3%,1.1%,18.2%,17.2%,22.1%,33.299999999999997%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,Total Cohort,51.9%,40%,2.7%,37.200000000000003%,12%,13.8%,26.6%
02M475,STUYVESANT HIGH SCHOOL,2005,Total Cohort,96.5%,96.5%,95.6%,0.9%,0%,2.8%,0.5%
02M475,STUYVESANT HIGH SCHOOL,2006,Total Cohort,98.3%,98.3%,97.8%,0.5%,0%,1.3%,0.4%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2005,Total Cohort,70.099999999999994%,55.2%,17.2%,38.1%,14.9%,15.7%,11.2%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006,Total Cohort,76.8%,63.3%,24.3%,39%,13.6%,12.4%,7.3%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2005,Total Cohort,51.2%,19.5%,0%,19.5%,31.7%,31.7%,14.6%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,Total Cohort,73.599999999999994%,58.5%,7.5%,50.9%,15.1%,13.2%,11.3%
02M519,TALENT UNLIMITED HIGH SCHOOL,2005,Total Cohort,89.1%,71.7%,19.600000000000001%,52.2%,17.399999999999999%,10.9%,0%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,Total Cohort,92.6%,87.5%,26.5%,61%,5.1%,6.6%,0%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2005,Total Cohort,57.8%,41.9%,6.3%,35.6%,15.9%,24.8%,12.5%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2006,Total Cohort,56.4%,42.1%,4.9%,37.200000000000003%,14.3%,28.4%,11.6%
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2005,Total Cohort,60.9%,43.7%,13.2%,30.5%,17.2%,28.2%,7.5%
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2006,Total Cohort,64.900000000000006%,51.4%,18.2%,33.1%,13.5%,22.3%,10.1%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,2005,Total Cohort,88.6%,63.6%,0%,63.6%,25%,11.4%,0%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,2006,Total Cohort,85.7%,59.2%,0%,59.2%,26.5%,6.1%,8.199999999999999%
02M535,PARK WEST HIGH SCHOOL,2005,Total Cohort,s,s,s,s,s,s,s
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2005,Total Cohort,58.9%,39.299999999999997%,8.4%,30.8%,19.600000000000001%,31.8%,9.300000000000001%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,Total Cohort,69.400000000000006%,56.8%,14.4%,42.3%,12.6%,15.3%,13.5%
02M543,NEW DESIGN HIGH SCHOOL,2005,Total Cohort,69.099999999999994%,51.9%,0%,51.9%,17.3%,16%,7.4%
02M543,NEW DESIGN HIGH SCHOOL,2006,Total Cohort,67.3%,42.6%,0%,42.6%,24.8%,23.8%,7.9%
02M544,INDEPENDENCE HIGH SCHOOL,2005,Total Cohort,18.100000000000001%,5%,0%,5%,13.1%,65%,15%
02M544,INDEPENDENCE HIGH SCHOOL,2006,Total Cohort,17.2%,6.9%,0%,6.9%,10.3%,63.4%,13.1%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,2005,Total Cohort,89.5%,84.2%,73.7%,10.5%,5.3%,7.9%,2.6%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,2006,Total Cohort,92.6%,88.9%,81.5%,7.4%,3.7%,3.7%,0%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,2005,Total Cohort,54.9%,40.700000000000003%,15%,25.7%,14.2%,28.3%,16.8%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,2006,Total Cohort,49.5%,30.9%,7.2%,23.7%,18.600000000000001%,26.8%,19.600000000000001%
02M551,THE HARBOR HS,2005,Total Cohort,63.4%,29.3%,6.1%,23.2%,34.1%,26.8%,9.800000000000001%
02M551,THE HARBOR HS,2006,Total Cohort,80.5%,54.5%,36.4%,18.2%,26%,1.3%,18.2%
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,2005,Total Cohort,37.4%,28.8%,0%,28.8%,8.6%,58.1%,1.5%
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,2006,Total Cohort,45.1%,41.7%,0%,41.7%,3.4%,51.9%,0.9%
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,2005,Total Cohort,27.6%,27.6%,0%,27.6%,0%,62.1%,3.4%
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,2006,Total Cohort,41.3%,41.3%,0%,41.3%,0%,50%,2.2%
02M570,SATELLITE ACADEMY HIGH SCHOOL,2005,Total Cohort,16.100000000000001%,9.699999999999999%,0%,9.699999999999999%,6.4%,61.8%,15.5%
02M570,SATELLITE ACADEMY HIGH SCHOOL,2006,Total Cohort,12.7%,7.9%,0%,7.9%,4.7%,72.3%,10.8%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,2005,Total Cohort,52.4%,48.7%,16.600000000000001%,32.1%,3.7%,27.3%,18.7%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,2006,Total Cohort,45.4%,40.4%,11.2%,29.2%,5%,36.200000000000003%,16.899999999999999%
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,2005,Total Cohort,54.9%,43.6%,14.3%,29.3%,11.3%,21.1%,20.3%
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,2006,Total Cohort,64.900000000000006%,53%,11.9%,41%,11.9%,18.7%,11.2%
02M586,HARVEY MILK HIGH SCHOOL,2005,Total Cohort,30%,6.7%,0%,6.7%,23.3%,43.3%,26.7%
02M586,HARVEY MILK HIGH SCHOOL,2006,Total Cohort,40%,23.3%,0%,23.3%,16.7%,36.700000000000003%,23.3%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2005,Total Cohort,77.900000000000006%,62.5%,6.2%,56.3%,15.4%,15.1%,5%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,Total Cohort,87.7%,77.900000000000006%,9.6%,68.3%,9.9%,8.9%,2.4%
02M605,HUMANITIES PREPARATORY ACADEMY,2005,Total Cohort,60%,57.1%,8.6%,48.6%,2.9%,25.7%,11.4%
02M605,HUMANITIES PREPARATORY ACADEMY,2006,Total Cohort,81.3%,79.2%,18.8%,60.4%,2.1%,16.7%,2.1%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,2005,Total Cohort,50.6%,29.4%,12.9%,16.5%,21.2%,12.4%,18.2%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,2006,Total Cohort,48%,31.2%,4.6%,26.6%,16.8%,13.9%,24.9%
02M620,NORMAN THOMAS HIGH SCHOOL,2005,Total Cohort,37%,19.899999999999999%,0.8%,19.100000000000001%,17.100000000000001%,38.4%,20.7%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,Total Cohort,47.8%,28.7%,2.4%,26.3%,19.2%,24.1%,22.6%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,2005,Total Cohort,42.9%,22.4%,0.8%,21.6%,20.5%,24.3%,27%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,2006,Total Cohort,49.6%,27.3%,1.5%,25.8%,22.4%,19.2%,25.1%
02M630,ART AND DESIGN HIGH SCHOOL,2005,Total Cohort,64.8%,51.5%,5.5%,45.9%,13.4%,28.3%,3.6%
02M630,ART AND DESIGN HIGH SCHOOL,2006,Total Cohort,67.5%,59.7%,8.1%,51.6%,7.8%,22.2%,6.9%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2005,Total Cohort,84.7%,53.2%,1.8%,51.4%,31.5%,9%,5.4%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,Total Cohort,79.7%,60.2%,2.5%,57.6%,19.5%,12.7%,5.9%
02M690,SCHOOL FOR THE PHYSICAL CITY,2005,Total Cohort,37.1%,8.1%,0%,8.1%,29%,43.5%,6.5%
02M690,SCHOOL FOR THE PHYSICAL CITY,2006,Total Cohort,50%,19.600000000000001%,0%,19.600000000000001%,30.4%,23.9%,21.7%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2005,Total Cohort,91.7%,37.5%,0%,37.5%,54.2%,0%,2.1%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,Total Cohort,55.4%,23%,0%,23%,32.4%,29.7%,8.1%
03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,2005,Total Cohort,45.5%,37.4%,0%,37.4%,8.1%,39.4%,11.1%
03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,2006,Total Cohort,61.8%,55.1%,1.1%,53.9%,6.7%,28.1%,7.9%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,2005,Total Cohort,67.400000000000006%,33.700000000000003%,0%,33.700000000000003%,33.700000000000003%,23.9%,6.5%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,2006,Total Cohort,60%,43%,0%,43%,17%,17%,19%
03M404,INNOVATION DIPLOMA PLUS,2006,Total Cohort,28.2%,20.5%,0%,20.5%,7.7%,66.7%,5.1%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,2005,Total Cohort,70.3%,52.3%,10.9%,41.4%,18%,20.3%,0.8%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,2006,Total Cohort,55.9%,47.2%,15%,32.299999999999997%,8.699999999999999%,33.9%,1.6%
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,2005,Total Cohort,35.299999999999997%,20.7%,5.5%,15.2%,14.7%,42.1%,18.100000000000001%
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,2006,Total Cohort,35.5%,21.5%,4.2%,17.3%,14%,36.700000000000003%,23%
03M479,BEACON HIGH SCHOOL,2005,Total Cohort,95.1%,80.900000000000006%,0%,80.900000000000006%,14.2%,2.8%,0.4%
03M479,BEACON HIGH SCHOOL,2006,Total Cohort,96.3%,91.8%,0%,91.8%,4.5%,3.3%,0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,2005,Total Cohort,96.3%,95%,63.2%,31.8%,1.4%,3.2%,0.5%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,2006,Total Cohort,97.1%,96.1%,50.2%,46%,0.9%,2%,0.9%
03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2005,Total Cohort,72.400000000000006%,52%,3.1%,49%,20.399999999999999%,19.399999999999999%,7.1%
03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2006,Total Cohort,75.7%,61.7%,15%,46.7%,14%,13.1%,9.300000000000001%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2005,Total Cohort,69.7%,55.3%,7.2%,48%,14.5%,19.7%,5.9%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,Total Cohort,62.8%,48.9%,2.9%,46%,13.9%,22.6%,6.6%
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2005,Total Cohort,25.1%,6.2%,0%,6.2%,18.899999999999999%,57.7%,15.4%
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2006,Total Cohort,27.5%,16%,0.5%,15.5%,11.5%,66%,6.5%
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2005,Total Cohort,92.2%,87.3%,21.6%,65.7%,4.9%,6.9%,1%
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2006,Total Cohort,93.3%,93.3%,52.2%,41.1%,0%,5.6%,1.1%
03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2005,Total Cohort,55.1%,46.4%,10.1%,36.200000000000003%,8.699999999999999%,34.799999999999997%,0%
02M419,LANDMARK HIGH SCHOOL,2005,Male,60%,0%,0%,0%,60%,28%,6%
03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2006,Total Cohort,74.099999999999994%,57.4%,16.7%,40.700000000000003%,16.7%,5.6%,13%
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,Total Cohort,65.8%,39.5%,1.3%,38.200000000000003%,26.3%,13.2%,13.2%
04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2005,Total Cohort,86.4%,79.2%,55.5%,23.7%,7.2%,8.9%,2.2%
04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2006,Total Cohort,87.7%,84%,54.9%,29.1%,3.7%,8.9%,1.3%
04M495,PARK EAST HIGH SCHOOL,2005,Total Cohort,51.9%,29.8%,5.8%,24%,22.1%,33.700000000000003%,10.6%
04M495,PARK EAST HIGH SCHOOL,2006,Total Cohort,57.6%,31.5%,5.4%,26.1%,26.1%,26.1%,10.9%
04M555,CENTRAL PARK EAST HIGH SCHOOL,2005,Total Cohort,58.3%,31.9%,0%,31.9%,26.4%,25%,6.9%
04M555,CENTRAL PARK EAST HIGH SCHOOL,2006,Total Cohort,66.7%,41.3%,1.6%,39.700000000000003%,25.4%,19%,11.1%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2005,Total Cohort,98.3%,84.7%,11.9%,72.900000000000006%,13.6%,1.7%,0%
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2006,Total Cohort,100%,85.5%,16.399999999999999%,69.099999999999994%,14.5%,0%,0%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2005,Total Cohort,49.4%,20%,1.2%,18.8%,29.4%,35.299999999999997%,11.8%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2006,Total Cohort,41.3%,24%,1.3%,22.7%,17.3%,34.700000000000003%,20%
04M680,HERITAGE SCHOOL  THE,2005,Total Cohort,54.8%,33.299999999999997%,3.6%,29.8%,21.4%,36.9%,8.300000000000001%
04M680,HERITAGE SCHOOL  THE,2006,Total Cohort,56%,34.700000000000003%,2.7%,32%,21.3%,34.700000000000003%,9.300000000000001%
04M695,URBAN PEACE ACADEMY,2005,Total Cohort,54.4%,29.8%,1.8%,28.1%,24.6%,21.1%,19.3%
04M695,URBAN PEACE ACADEMY,2006,Total Cohort,77.8%,60%,11.1%,48.9%,17.8%,4.4%,11.1%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2005,Total Cohort,8.199999999999999%,1.2%,0%,1.2%,7.1%,58.8%,28.2%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2006,Total Cohort,12.3%,6.2%,0%,6.2%,6.2%,63%,22.2%
05M304,MOTT HALL HIGH SCHOOL,2005,Total Cohort,75%,72.8%,2.2%,70.7%,2.2%,15.2%,7.6%
05M304,MOTT HALL HIGH SCHOOL,2006,Total Cohort,69.8%,65.599999999999994%,8.300000000000001%,57.3%,4.2%,14.6%,7.3%
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2005,Total Cohort,s,s,s,s,s,s,s
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2006,Total Cohort,69.400000000000006%,67.7%,0%,67.7%,1.6%,14.5%,16.100000000000001%
05M469,CHOIR ACADEMY OF HARLEM,2005,Total Cohort,56%,27.4%,1.2%,26.2%,28.6%,25%,11.9%
05M469,CHOIR ACADEMY OF HARLEM,2006,Total Cohort,56.4%,41%,0%,41%,15.4%,30.8%,10.3%
05M499,FREDERICK DOUGLASS ACADEMY,2005,Total Cohort,78.8%,72.599999999999994%,28.3%,44.3%,6.1%,14.6%,3.3%
05M499,FREDERICK DOUGLASS ACADEMY,2006,Total Cohort,82.6%,79.900000000000006%,29.3%,50.6%,2.7%,12.4%,3.5%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2005,Total Cohort,87.9%,61.6%,7.1%,54.5%,26.3%,8.1%,2%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006,Total Cohort,68.400000000000006%,58.9%,1.1%,57.9%,9.5%,17.899999999999999%,10.5%
